variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate
srr_v2_edema_t2_focus,4,myops_edema,all_cases,44,0.10876217985691804,150.27010168327658,105.68442154511087,35.61363636363637,33.02272727272727,0.06818181818181818
srr_v2_edema_t2_focus,4,myops_edema,gt_positive_only,16,0.17409599460652458,170.30611524104677,119.77567775112564,43.0625,35.9375,0.0625
srr_v2_edema_t2_focus,4,myops_edema,t2_present,16,0.17409599460652458,170.30611524104677,119.77567775112564,43.0625,35.9375,0.0625
srr_v2_edema_t2_focus,4,myops_edema,complete_modality,16,0.17409599460652458,170.30611524104677,119.77567775112564,43.0625,35.9375,0.0625
srr_v2_edema_t2_focus,4,myops_edema,CenterB,7,0.38310525709608295,161.26935689706906,79.3816196680536,20.428571428571427,10.285714285714286,0.0
srr_v2_edema_t2_focus,4,myops_edema,CenterC,9,0.01153323489242365,178.21327879202727,155.1204785738137,60.666666666666664,55.888888888888886,0.1111111111111111
srr_v2_edema_t2_focus,4,myops_edema,C0+LGE,4,0.25,0.0,0.0,17.75,17.75,0.25
srr_v2_edema_t2_focus,4,myops_edema,LGE-only,24,0.041666666666666664,0.0,0.0,33.625,33.625,0.041666666666666664
srr_v2_edema_t2_focus,4,myops_edema,no_T2_empty_GT,28,0.07142857142857142,0.0,0.0,31.357142857142858,31.357142857142858,0.07142857142857142
srr_v2_edema_t2_focus,5,myops_scar,all_cases,44,0.1858424053923809,141.39992408301742,106.5340320472246,28.977272727272727,17.454545454545453,0.0
srr_v2_edema_t2_focus,5,myops_scar,gt_positive_only,43,0.19016432179685486,141.39992408301742,106.5340320472246,29.488372093023255,17.697674418604652,0.0
srr_v2_edema_t2_focus,5,myops_scar,t2_present,16,0.1931994649490445,134.78872277486687,97.30486844757466,27.0,21.4375,0.0
srr_v2_edema_t2_focus,5,myops_scar,complete_modality,16,0.1931994649490445,134.78872277486687,97.30486844757466,27.0,21.4375,0.0
srr_v2_edema_t2_focus,5,myops_scar,CenterB,7,0.3062757787642037,83.56603008382476,39.8406381168974,7.428571428571429,2.5714285714285716,0.0
srr_v2_edema_t2_focus,5,myops_scar,CenterC,9,0.10525122087058733,174.62859486789964,141.9992698158792,42.22222222222222,36.111111111111114,0.0
srr_v2_edema_t2_focus,5,myops_scar,C0+LGE,4,0.1549728294186677,71.67645878927132,54.04141448972204,9.0,2.75,0.0
srr_v2_edema_t2_focus,5,myops_scar,LGE-only,24,0.18608262835022402,154.52282478350273,119.24838497501237,33.625,17.25,0.0
srr_v2_edema_t2_focus,5,myops_scar,no_T2_empty_GT,1,0.0,,,7.0,7.0,0.0
srr_v2_scar_precision_nointeract,4,myops_edema,all_cases,44,0.06809403499987834,158.87327760299053,106.37707725952755,123.47727272727273,120.75,0.0
srr_v2_scar_precision_nointeract,4,myops_edema,gt_positive_only,16,0.18725859624966543,158.87327760299053,106.37707725952755,37.5,30.0,0.0
srr_v2_scar_precision_nointeract,4,myops_edema,t2_present,16,0.18725859624966543,158.87327760299053,106.37707725952755,37.5,30.0,0.0
srr_v2_scar_precision_nointeract,4,myops_edema,complete_modality,16,0.18725859624966543,158.87327760299053,106.37707725952755,37.5,30.0,0.0
srr_v2_scar_precision_nointeract,4,myops_edema,CenterB,7,0.3966820470054716,137.4674193686906,53.84130139953175,16.714285714285715,7.285714285714286,0.0
srr_v2_scar_precision_nointeract,4,myops_edema,CenterC,9,0.02437369010626062,175.52227845189046,147.23823626174652,53.666666666666664,47.666666666666664,0.0
srr_v2_scar_precision_nointeract,4,myops_edema,C0+LGE,4,0.0,,,172.0,172.0,0.0
srr_v2_scar_precision_nointeract,4,myops_edema,LGE-only,24,0.0,,,172.70833333333334,172.70833333333334,0.0
srr_v2_scar_precision_nointeract,4,myops_edema,no_T2_empty_GT,28,0.0,,,172.60714285714286,172.60714285714286,0.0
srr_v2_scar_precision_nointeract,5,myops_scar,all_cases,44,0.2377212504428482,132.70917899581283,87.0840399602216,29.75,20.75,0.022727272727272728
srr_v2_scar_precision_nointeract,5,myops_scar,gt_positive_only,43,0.2432496516159377,132.70917899581283,87.0840399602216,30.372093023255815,21.162790697674417,0.023255813953488372
srr_v2_scar_precision_nointeract,5,myops_scar,t2_present,16,0.26156474964690296,118.99883847802266,77.66818361999734,25.0,20.1875,0.0
srr_v2_scar_precision_nointeract,5,myops_scar,complete_modality,16,0.26156474964690296,118.99883847802266,77.66818361999734,25.0,20.1875,0.0
srr_v2_scar_precision_nointeract,5,myops_scar,CenterB,7,0.40173563505995286,75.75000987675342,39.3934327080803,7.714285714285714,4.571428571428571,0.0
srr_v2_scar_precision_nointeract,5,myops_scar,CenterC,9,0.1525429498811975,152.63681627900985,107.43743432926614,38.44444444444444,32.333333333333336,0.0
srr_v2_scar_precision_nointeract,5,myops_scar,C0+LGE,4,0.18335412545426383,51.51360437890081,30.418512702488986,7.25,1.75,0.0
srr_v2_scar_precision_nointeract,5,myops_scar,LGE-only,24,0.2308867718049091,152.8375343060467,101.025356621821,36.666666666666664,24.291666666666668,0.041666666666666664
srr_v2_scar_precision_nointeract,5,myops_scar,no_T2_empty_GT,1,0.0,,,3.0,3.0,0.0
