case_rows,empty_prediction_rate,mean_baseline_dice,mean_dice,mean_dice_delta_vs_standard_nnunet,mean_hd95,mean_remote_fp_volume_mm3,pathology,seed,subgroup,variant
44,0.6363636363636364,0.3944358976789887,0.21986228508261313,-0.17457361259637555,42.27717934372492,3103.574805442544,edema,20260723,all_cases,student_direct_reliable
16,0.0,0.3944358976789887,0.21986228508261313,-0.17457361259637555,116.26224319524353,8534.830714966996,edema,20260723,positive_gt,student_direct_reliable
16,0.0,0.3944358976789887,0.21986228508261313,-0.17457361259637555,116.26224319524353,8534.830714966996,edema,20260723,complete_trimodal,student_direct_reliable
7,0.0,0.5029744773313501,0.37566149867238263,-0.12731297865896746,109.71210019814647,7207.417108390543,edema,20260723,CenterB,student_direct_reliable
9,0.0,0.3100170023938187,0.09868511895723682,-0.21133188343658182,121.35679885965234,9567.263520082019,edema,20260723,CenterC,student_direct_reliable
24,1.0,,,,0.0,0.0,edema,20260723,lge_only,student_direct_reliable
4,1.0,,,,0.0,0.0,edema,20260723,lge_c0,student_direct_reliable
0,,,,,,,edema,20260723,small_scar,student_direct_reliable
0,,,,,,,edema,20260723,large_scar,student_direct_reliable
10,0.0,0.2782908961049526,0.07016488446394242,-0.20812601164101013,126.44983838262824,10844.957364211663,edema,20260723,low_baseline,student_direct_reliable
6,0.0,0.5880109003023821,0.46935795278039755,-0.11865294752198452,99.28291788293569,4684.619632892559,edema,20260723,high_baseline,student_direct_reliable
44,0.0,0.5601692281262312,0.2784772693066108,-0.28169195881962034,70.9654765695827,4020.4285381856853,scar,20260723,all_cases,student_direct_reliable
43,0.0,0.573196419478004,0.2849534848718809,-0.28824293460612316,70.9654765695827,4113.558962038841,scar,20260723,positive_gt,student_direct_reliable
16,0.0,0.6933346102422654,0.3841553937157548,-0.30917921652651065,98.21658697184502,6563.474544044836,scar,20260723,complete_trimodal,student_direct_reliable
7,0.0,0.6131815991584469,0.35942107022435266,-0.2537605289340942,104.25674678472588,1897.1897380929154,scar,20260723,CenterB,student_direct_reliable
9,0.0,0.7556758410852354,0.4033932008757342,-0.3522826402095012,93.51868489515991,10192.807170896329,scar,20260723,CenterC,student_direct_reliable
24,0.0,0.501789292579108,0.25194205837974076,-0.24984723419936716,54.93729203842732,2956.149878412421,scar,20260723,lge_only,student_direct_reliable
4,0.0,0.3777873129448342,0.014976037231255911,-0.3628112757135783,53.8516973400935,233.91647338867188,scar,20260723,lge_c0,student_direct_reliable
0,,,,,,,scar,20260723,small_scar,student_direct_reliable
43,0.0,0.573196419478004,0.2849534848718809,-0.28824293460612316,70.9654765695827,4113.558962038841,scar,20260723,large_scar,student_direct_reliable
14,0.0,0.32854785692224636,0.1548023565676268,-0.17374550035461958,66.77006547721585,2490.291358432229,scar,20260723,low_baseline,student_direct_reliable
30,0.0,0.6682592013547575,0.33619222858480335,-0.33206697276995395,72.78348804294167,4734.4925554039655,scar,20260723,high_baseline,student_direct_reliable
